,Zt,logZt,DifLogZt
1,318,5.762051383,
2,281,5.638354669,-0.123696713
3,278,5.627621114,-0.010733556
4,250,5.521460918,-0.106160196
5,231,5.442417711,-0.079043207
6,216,5.375278408,-0.067139303
7,223,5.407171771,0.031893364
8,245,5.501258211,0.094086439
9,269,5.59471138,0.093453169
10,302,5.710427017,0.115715638
11,325,5.783825182,0.073398165
12,347,5.84932478,0.065499598
13,342,5.834810737,-0.014514043
14,309,5.733341277,-0.10146946
15,299,5.700443573,-0.032897704
16,268,5.590986981,-0.109456593
17,249,5.517452896,-0.073534084
18,236,5.463831805,-0.053621091
19,242,5.488937726,0.025105921
20,262,5.568344504,0.079406778
21,288,5.66296048,0.094615976
22,321,5.771441123,0.108480643
23,342,5.834810737,0.063369614
24,364,5.897153868,0.062343131
25,367,5.905361848,0.00820798
26,328,5.793013608,-0.11234824
27,320,5.768320996,-0.024692613
28,287,5.659482216,-0.10883878
29,269,5.59471138,-0.064770836
30,251,5.525452939,-0.06925844
31,259,5.556828062,0.031375123
32,284,5.648974238,0.092146176
33,309,5.733341277,0.084367039
34,345,5.843544417,0.11020314
35,367,5.905361848,0.061817431
36,394,5.976350909,0.070989061
37,392,5.97126184,-0.00508907
38,349,5.855071922,-0.116189918
39,342,5.834810737,-0.020261185
40,311,5.739792912,-0.095017825
41,290,5.669880923,-0.069911989
42,273,5.609471795,-0.060409128
43,282,5.641907071,0.032435276
44,305,5.720311777,0.078404706
45,328,5.793013608,0.072701832
46,364,5.897153868,0.104140259
47,389,5.963579344,0.066425476
48,417,6.033086222,0.069506878
49,420,6.040254711,0.007168489
50,378,5.934894196,-0.105360516
51,370,5.913503006,-0.02139119
52,334,5.811140993,-0.102362013
53,314,5.749392986,-0.061748007
54,296,5.690359454,-0.059033532
55,305,5.720311777,0.029952322
56,330,5.799092654,0.078780878
57,356,5.874930731,0.075838076
58,396,5.981414211,0.10648348
59,422,6.045005314,0.063591103
60,452,6.11368218,0.068676866
61,453,6.115892125,0.002209946
62,412,6.021023349,-0.094868776
63,398,5.986452005,-0.034571344
64,362,5.891644212,-0.094807793
65,341,5.831882477,-0.059761735
66,322,5.774551546,-0.057330932
67,335,5.814130532,0.039578986
68,359,5.883322388,0.069191857
69,392,5.97126184,0.087939451
70,427,6.056784013,0.085522173
71,454,6.118097198,0.061313185
72,483,6.180016654,0.061919456
73,487,6.188264123,0.008247469
74,440,6.086774727,-0.101489396
75,429,6.061456919,-0.025317808
76,393,5.973809612,-0.087647307
77,370,5.913503006,-0.060306606
78,347,5.84932478,-0.064178226
79,357,5.877735782,0.028411002
80,388,5.96100534,0.083269558
81,415,6.02827852,0.067273181
82,457,6.124683391,0.096404871
83,491,6.196444128,0.071760737
84,516,6.246106765,0.049662638
85,529,6.270988432,0.024881666
86,477,6.167516491,-0.103471941
87,463,6.137727054,-0.029789437
88,423,6.047372179,-0.090354875
89,398,5.986452005,-0.060920174
90,380,5.940171253,-0.046280753
91,389,5.963579344,0.023408091
92,419,6.03787092,0.074291576
93,448,6.104793232,0.066922312
94,493,6.200509174,0.095715942
95,526,6.265301213,0.064792039
96,560,6.327936784,0.062635571